"Sex","Age","P1","P2","P3","E1","E2","E3","N1","N2","N3"
2,45,14,32,14,28,34,28,15,27,15
2,29,26,22,19,26,27,28,1,1,5
1,29,32,24,38,20,32,30,4,7,12
2,45,21,17,14,26,22,11,7,1,8
1,44,20,27,18,17,25,21,24,25,23
2,40,23,8,4,34,31,34,2,2,6
2,51,16,10,10,20,27,20,3,1,2
1,49,15,6,17,8,6,2,36,37,37
2,30,15,21,20,14,19,21,13,11,14
1,46,8,12,12,24,22,24,22,6,22
1,47,18,20,14,38,34,33,14,26,28
1,33,14,9,16,26,19,15,2,4,2
2,50,22,24,15,18,8,5,33,26,17
1,42,18,19,9,16,13,11,25,31,22
1,39,24,15,7,24,25,20,11,6,14
1,28,17,7,4,33,32,27,8,3,5
1,35,18,10,22,16,16,28,12,7,8
1,38,31,22,31,12,15,23,22,17,15
1,33,23,14,26,18,34,24,15,26,18
1,54,22,20,23,23,17,12,30,26,24
1,49,20,14,14,22,14,27,24,19,26
1,54,26,33,29,14,10,27,13,24,27
1,44,23,14,21,12,20,24,7,35,16
1,44,27,13,11,31,32,25,11,21,15
2,46,16,28,29,7,13,25,19,12,13
2,27,20,12,10,27,28,21,14,16,24
2,32,10,11,16,18,32,25,9,15,23
2,31,11,12,14,24,34,14,15,8,21
2,53,28,30,14,38,19,20,9,10,12
1,22,18,12,31,11,15,22,27,14,16
1,47,17,19,11,29,15,23,16,6,8
1,25,31,20,36,15,21,9,29,27,20
1,31,26,25,15,26,13,23,17,19,21
1,37,24,16,6,24,24,22,4,0,8
1,50,24,32,24,34,22,29,3,4,9
2,50,16,17,15,20,32,24,20,27,25
1,22,26,11,16,24,23,24,3,0,9
1,31,28,14,7,28,13,16,14,5,16
2,53,16,12,16,33,20,29,13,22,15
2,53,15,20,10,24,20,22,8,9,5
1,40,20,24,4,21,20,22,8,4,8
1,33,34,24,30,18,20,20,3,11,8
1,37,14,10,7,29,34,19,5,5,4
1,41,31,21,11,33,32,26,1,4,8
1,33,17,19,22,12,12,16,32,26,24
2,59,7,7,14,30,22,26,10,2,7
2,42,35,27,30,9,34,22,14,25,7
2,32,16,17,20,22,37,30,0,0,5
