"Sex","Age","O1","O2","O3","QD1","QD2","QD3"
1,37,4.128,3.204,5.515,-1.663,-1.681,-1.02
1,48,-1.81,-0.563,1.29,0.738,3.159,0.031
1,62,0.343,1.18,0.727,-1.831,1.601,-0.814
1,23,1.058,1.707,1.29,0.745,3.147,-0.837
2,20,1.058,1.18,1.003,-0.909,0.539,-0.847
1,24,-2.043,-1.461,-0.655,-1.278,-0.117,1.571
1,59,2.699,1.707,1.003,-1.699,-3.55,0.218
2,44,3.064,1.707,2.854,-1.557,-0.928,-4.505
2,21,3.064,-0.094,-0.239,-1.537,0.326,-1.411
2,53,1.058,1.18,0.727,-0.21,-1.021,0.895
1,31,0.114,0.917,0.216,-2.061,-0.908,-0.251
2,34,0.114,1.18,1.29,0.161,-0.098,1.732
2,65,3.511,1.974,1.885,-0.592,0.475,-1.241
1,56,0.815,0.917,1.584,2.189,0.064,0.711
1,54,1.305,-0.331,-0.018,-0.219,-1.186,-2.06
1,60,-0.108,1.18,2.513,0.846,2.665,2.066
1,33,1.305,1.707,2.854,4.552,1.997,-1.034
1,35,2.381,1.707,1.29,0.319,2.538,-0.637
2,46,1.058,5.419,3.235,0.643,1.478,-1.401
1,44,-0.108,0.917,-0.239,-2.446,1.566,-1.728
2,52,1.818,2.248,3.235,-0.028,0.717,-0.132
2,43,-1.374,0.917,-1.24,0.131,-1.046,-1.721
2,28,3.511,2.537,5.515,-2.866,-1.268,-1.913
2,39,2.09,1.18,0.727,0.849,7.454,0.287
1,24,4.128,3.204,5.515,-0.116,2.026,0.659
2,60,0.343,1.974,2.193,2.141,-0.789,-1.046
2,44,-0.108,2.537,2.513,-0.197,-0.112,0.742
1,53,0.343,-0.331,-0.655,-0.635,1.885,-0.52
2,51,1.058,2.537,4.313,-0.639,-0.403,-2.951
2,42,1.305,1.18,3.235,-0.31,2.77,2.161
1,40,0.815,-0.789,-0.018,-0.356,1.988,-1.558
2,46,0.114,0.401,2.193,-0.849,1.058,0.63
2,50,2.381,2.537,3.692,1.463,3.196,-0.357
1,46,1.058,1.18,1.003,-0.184,2.194,-1.223
2,36,2.381,2.849,4.313,1.896,-0.318,-0.759
2,30,-0.956,2.537,1.584,-1.167,1.034,-0.399
1,41,3.064,2.537,1.885,1.235,-1.061,-1.2
1,62,-0.956,0.15,1.29,2.429,1.341,-0.002
1,42,1.305,-2.178,-1.24,0.256,0.381,-2.111
2,38,0.114,1.974,2.513,-2.728,-0.045,-1.489
2,20,2.381,2.849,3.692,1.666,0.178,-1.658
2,42,3.064,5.419,5.515,-1.215,0.118,-2.188
2,32,1.558,-0.563,-2.288,-1.252,-0.354,-1.79
1,48,-0.108,-0.789,1.003,-2.13,-0.4,-1.976
1,37,-0.748,-1.461,-1.047,2.584,7.454,-0.592
1,53,2.381,5.419,5.515,-0.2,1.515,-0.6
1,35,1.305,1.18,1.29,0.464,1.375,0.349
1,28,1.558,3.204,0.464,-1.207,-0.766,-2.217
2,26,-0.539,-0.563,-0.018,-1.321,-1.476,-2.191
2,59,-0.108,-0.563,-0.018,-0.737,2.102,-0.504
1,32,3.064,2.248,3.692,0.127,1.826,-2.115
2,54,1.058,3.204,3.235,-0.937,-0.098,-0.871
2,35,3.064,4.237,4.313,-0.97,-0.288,-0.729
1,44,0.576,1.974,0.216,-0.974,-0.253,0.034
1,20,1.558,2.248,0.216,-1.319,0.383,-1.509
2,51,3.511,4.237,4.313,3.18,0.566,-1.337
1,45,1.558,2.248,2.854,-0.282,1.41,0.533
2,27,0.815,1.443,0.727,2.018,-0.856,-1.349
2,55,0.343,0.15,-0.018,-0.475,-0.685,-1.46
2,52,0.114,0.657,-0.451,0.352,-0.923,-0.995
2,25,-2.575,1.707,1.29,2.01,0.484,-0.142
2,22,2.699,2.248,5.515,-0.593,-0.277,-1.371
2,45,5.329,5.419,5.515,-0.246,1.227,-0.497
2,40,3.064,3.637,5.515,-1.52,-1.236,-1.056
1,46,1.305,1.443,0.216,-2.269,0.249,-2.336
1,47,1.818,2.537,2.854,-2.361,0.172,-2.309
1,33,1.305,1.18,1.003,-0.13,0.51,-2.692
1,35,1.058,1.18,2.513,0.981,2.027,-1.468
1,54,2.381,3.637,1.29,-0.187,-0.364,-1.715
1,60,3.064,5.419,2.513,-1.717,-0.044,-1.605
2,49,0.114,1.443,1.29,0.422,-1.582,-0.334
1,29,2.381,2.849,0.464,-0.69,-1.469,0.07
2,46,1.058,0.917,1.003,-1.697,-2.229,-1.438
2,19,1.818,2.849,1.885,-0.802,0.896,-1.265
2,31,3.064,2.248,2.513,-2.697,1.159,-2.071
2,36,-0.108,1.18,1.003,0.654,0.494,-0.857
1,18,2.381,2.248,0.727,-0.618,2.078,-0.061
1,26,0.576,0.15,1.003,1.486,1.766,1.046
2,63,1.558,1.443,0.464,-1.348,-1.25,-0.596
2,61,1.558,2.849,3.692,1.73,1.416,-2.069
1,63,3.511,1.443,1.885,-1.093,0.114,-0.561
2,32,2.381,0.401,1.29,0.013,0.471,-0.893
2,37,0.343,2.849,2.193,-0.715,0.306,-1.565
2,30,0.576,0.401,0.727,-0.412,0.308,-0.502
2,29,3.511,2.849,4.313,-3.774,-2.98,-2.426
1,30,-0.539,-0.094,1.003,-0.893,-1.234,-1.598
1,23,0.815,0.917,1.29,1.924,3,-1.319
2,65,2.09,2.248,1.885,-0.088,-0.836,-0.718
2,39,-0.108,0.657,0.727,-2.036,-0.007,-1.25
1,22,-0.108,0.917,1.003,2.159,2.625,2.148
1,54,3.511,1.18,2.513,-0.378,-1.217,-1.23
1,29,0.576,0.917,-0.239,-1.439,0.041,-1.035
1,44,1.558,1.443,1.29,-2.126,0.487,-2.312
2,48,3.511,2.849,5.515,-1.122,1.732,-0.998
1,37,2.381,2.537,3.692,-1.187,1.102,-0.525
1,22,1.818,1.707,2.193,2.432,-0.474,-1.447
1,38,0.576,0.401,1.584,1.899,0.403,0.113
2,57,5.329,5.419,5.515,0.412,1.524,-0.219
2,26,0.343,2.849,1.003,-0.795,-0.346,-0.344
2,32,2.381,1.443,0.727,0.99,-0.126,-0.825
2,48,2.381,4.237,1.584,-1.572,-2.036,-1.129
2,31,-0.108,0.917,0.727,0.523,1.862,-0.221
1,23,1.818,3.637,3.692,-2.735,-1.178,-2.224
1,20,-0.108,0.401,-1.047,1.801,1.029,-1.997
2,57,0.114,0.917,1.003,-1.088,-1.222,-1.823
1,26,3.511,3.204,4.313,-0.235,3.565,-0.021
1,31,-0.748,2.248,1.29,-0.589,0.217,-1.548
1,54,2.381,3.204,3.692,2.186,1.73,-0.642
1,56,-0.748,-1.237,-0.451,1.267,2.883,0.031
1,52,2.09,1.18,1.885,0.786,1.153,0.717
1,37,0.815,1.974,3.692,-2.235,-0.641,-1.931
1,49,1.558,1.974,2.193,-0.306,1.015,-0.2
2,53,1.058,1.18,2.513,-0.255,0.645,0.299
1,34,2.09,0.15,-0.451,-0.05,-0.335,-2.994
2,26,1.818,0.15,1.003,-1.199,-2.475,-1.412
2,21,2.699,0.401,1.29,-1.919,4.951,-1.826
2,50,1.558,1.707,2.193,-0.682,1.312,-2.968
2,36,4.128,3.637,4.313,2.495,2.944,0.168
